clientnum,attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,avg_open_to_buy,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio,income_category_min,income_category_max
768805383,Existing Customer,45,M,3,High School,Married,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,60000,60000
818770008,Existing Customer,49,F,5,Graduate,Single,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,0,40000
713982108,Existing Customer,51,M,3,Graduate,Married,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,80000,80000
709106358,Existing Customer,40,M,3,Uneducated,Married,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,60000,60000
713061558,Existing Customer,44,M,2,Graduate,Married,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,40000,40000
710930508,Existing Customer,37,M,3,Uneducated,Single,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,60000,60000
710821833,Existing Customer,65,M,1,Unknown,Married,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,40000,40000
710599683,Existing Customer,56,M,1,College,Single,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,80000,80000
712396908,Existing Customer,57,F,2,Graduate,Married,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0,40000
709967358,Existing Customer,48,M,4,Post-Graduate,Single,Blue,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,80000,80000
753327333,Existing Customer,41,M,3,Unknown,Married,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,80000,80000
806160108,Existing Customer,61,M,1,High School,Married,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,40000,40000
806165208,Existing Customer,47,M,1,Doctorate,Divorced,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,60000,60000
708508758,Attrited Customer,62,F,0,Graduate,Married,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,0,40000
784725333,Existing Customer,41,M,3,High School,Married,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,40000,40000
811604133,Existing Customer,47,F,4,Unknown,Single,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0,40000
789124683,Existing Customer,54,M,2,Unknown,Married,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,80000,80000
771071958,Existing Customer,41,F,3,Graduate,Single,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,0,40000
804424383,Existing Customer,63,M,1,Unknown,Married,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,60000,60000
806624208,Existing Customer,47,M,4,High School,Married,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,40000,40000
778348233,Existing Customer,53,M,3,Unknown,Married,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,80000,80000
712991808,Existing Customer,53,M,2,Uneducated,Married,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,60000,60000
709029408,Existing Customer,41,M,4,Graduate,Married,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,60000,60000
788658483,Existing Customer,53,F,2,College,Married,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0,40000
787937058,Existing Customer,58,M,0,Graduate,Married,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,80000,80000
715318008,Existing Customer,55,F,1,College,Single,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,0,40000
713962233,Existing Customer,55,F,3,Graduate,Married,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,0,40000
785432733,Existing Customer,42,F,4,High School,Married,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,0,40000
827111283,Existing Customer,45,M,3,Graduate,Single,Blue,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,80000,80000
758551608,Existing Customer,51,M,2,Unknown,Married,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,40000,40000
773146383,Existing Customer,50,F,1,College,Single,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,40000,40000
778493808,Existing Customer,49,M,3,High School,Married,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,60000,60000
712661433,Existing Customer,49,M,4,Uneducated,Single,Blue,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,80000,80000
789172683,Existing Customer,56,M,2,Doctorate,Married,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,60000,60000
738406533,Existing Customer,59,M,1,Doctorate,Married,Blue,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,40000,40000
799723908,Existing Customer,46,M,3,High School,Married,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,80000,80000
771490833,Existing Customer,52,M,1,College,Single,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,80000,80000
720756708,Existing Customer,52,F,3,Unknown,Married,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,0,40000
779471883,Attrited Customer,54,F,1,Graduate,Married,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,0,40000
711525033,Existing Customer,66,F,0,High School,Married,Blue,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0,40000
716632758,Existing Customer,49,F,3,Graduate,Single,Blue,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,0,40000
768563658,Existing Customer,56,M,2,Uneducated,Married,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,40000,40000
714091983,Existing Customer,42,M,2,High School,Single,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,60000,60000
787584108,Existing Customer,55,M,3,Unknown,Married,Blue,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,80000,80000
712030833,Attrited Customer,48,M,2,Graduate,Married,Silver,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,60000,60000
711481533,Existing Customer,39,M,1,High School,Divorced,Blue,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,60000,60000
788979258,Existing Customer,51,M,4,Uneducated,Single,Silver,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,80000,80000
807986133,Existing Customer,57,M,2,College,Married,Blue,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,60000,60000
788730933,Existing Customer,44,F,2,Uneducated,Single,Blue,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,0,40000
711314058,Existing Customer,49,M,2,Graduate,Married,Blue,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,60000,60000
